name,job,phone,email,country, salary 
ÚÇÈÏ ÇáÚŞíá,Insurance claims handler,639.995.1286x15079,al-mqtzydn@gmail.com,Benin," 8,398,952.00 Ï.Ú.ş "
æÇÆá Âá ÎÖíÑ,Tax adviser,(430)652-6299,lqylthbt@gmail.com,South Georgia and the South Sandwich Islands," 1,916,982.00 Ï.Ú.ş "
ÇáÓíÏÉ áíÓÇÁ ÇáÌİÇáí,Secretary/administrator,(435)678-4626x11266,srmbqshn@yahoo.com,Guyana," 2,256,971.00 Ï.Ú.ş "
ÅÎáÇÕ Âá ÍÓíä,Petroleum engineer,457.644.6774,lqylnmn@gmail.com,Moldova," 14,459,976.00 Ï.Ú.ş "
ØíøÚ Âá ÕİæÇä,"Pharmacist, community",363-564-4165x72540,sndyd93@yahoo.com,Argentina," 4,606,354.00 Ï.Ú.ş "
ÇáÂäÓÉ ÍáÇ ÇáãåíÏÈ,Education administrator,837-893-1208x47515,al-lshykhryf@gmail.com,Liberia," 10,200,926.00 Ï.Ú.ş "
ÊÇÌ ÇáÑÇÔÏ,Professor Emeritus,6632245321,sdh07@yahoo.com,Australia," 12,800,923.00 Ï.Ú.ş "
ÇáÂäÓÉ ÌæÇåÑ Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Amenity horticulturist,604-450-8539x4712,nwrs81@gmail.com,Norway," 2,882,169.00 Ï.Ú.ş "
ÔÑíİ ÇáÚáíÇä,"Producer, television/film/video",650.958.7617,pbw-dwwd@hotmail.com,Anguilla," 5,268,900.00 Ï.Ú.ş "
ãõÎíãÑ Âá ÚØİÉ,"Surveyor, mining",407-404-7034,nlhkyr@yahoo.com,Benin," 9,333,447.00 Ï.Ú.ş "
ÑÇİÚ ÇáÌİÇáí,Product/process development scientist,7836875351,dlmshwl@yahoo.com,Turkmenistan," 900,546.00 Ï.Ú.ş "
ÇáÏßÊæÑ ŞÍØÇä Âá ÚØİÉ,"Designer, jewellery",768-788-9862x2862,almhn@yahoo.com,France," 9,421,270.00 Ï.Ú.ş "
ÇáÓíÏ ÕÚÈ Âá ãŞØÉ,Dancer,-8845,al-mqtbd-llym@gmail.com,Anguilla," 2,762,811.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÕÚÈ Âá ÚØİÉ,Contractor,-9555,mrtqy20@yahoo.com,Botswana," 933,697.00 Ï.Ú.ş "
äæÑå Âá ÎÖíÑ,Management consultant,(556)940-7174,btkral-lskry@hotmail.com,Malaysia," 14,662,376.00 Ï.Ú.ş "
ĞÑíÚ Âá ÎÖíÑ,Bonds trader,5539013464,rldbg@hotmail.com,Somalia," 5,644,073.00 Ï.Ú.ş "
ÇáÏßÊæÑ ãÇåÑ ÃÈæ ÏÇææÏ,Tax inspector,775.760.2992,ftkrlqyl@hotmail.com,Nicaragua," 5,969,409.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÊÇáíÇ Âá ãÚíÖ,"Surveyor, quantity",(550)542-1001,fwwz67@yahoo.com,Poland," 3,627,784.00 Ï.Ú.ş "
ÓáÓÈíá Âá ÚæÇÖ,Toxicologist,299-640-1516x82520,lqylngm@hotmail.com,Serbia," 9,186,759.00 Ï.Ú.ş "
áÇÑÇ Âá ŞÕíÑ,Oceanographer,201.576.1765x0710,zbyr72@gmail.com,North Macedonia," 9,645,344.00 Ï.Ú.ş "
ãÍÓä Âá ÚæÇÖ,Risk manager,(913)863-1199x215,srmllyn@gmail.com,Libyan Arab Jamahiriya," 9,393,942.00 Ï.Ú.ş "
ÇáÓíÏ ÖÍøÇß ÇáãåíÏÈ,Surgeon,001-398-673-7704x9253,dnyal-khdyr@gmail.com,Bhutan," 5,320,225.00 Ï.Ú.ş "
ÚÈÏ ÇáÑøÍãä Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Textile designer,845.284.4688,khldyljln@yahoo.com,Liechtenstein," 6,368,621.00 Ï.Ú.ş "
ÈÊæá Âá Úáí,Risk analyst,540-997-7854,shbly87@gmail.com,Czech Republic," 2,528,349.00 Ï.Ú.ş "
åäÏ ÔÑÈÊáí,"Engineer, biomedical",001-910-634-1075,hnyal-bn-lfy@yahoo.com,Armenia," 3,518,834.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÌÓæÑ Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Animal nutritionist,(822)754-1588x991,bd-lgfwr81@hotmail.com,Kyrgyz Republic," 12,787,795.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÈåÌÉ Âá ÇáÔíÎ,"Producer, television/film/video",(434)881-1405,muslhlshy@yahoo.com,Germany," 9,199,990.00 Ï.Ú.ş "
ÔåÏ ÇáãÔÇæáÉ,Ranger/warden,504.938.6750x312,abqshn@hotmail.com,Poland," 531,237.00 Ï.Ú.ş "
ÇáÏßÊæÑ ãÕÈÇÍ ÃÈæ ÏÇææÏ,Company secretary,819-546-3809,qljbr@hotmail.com,Reunion," 13,305,105.00 Ï.Ú.ş "
åäÇÏí Âá Èä ÙÇİÑ,Arts administrator,438-759-0048x4708,khdr05@yahoo.com,Zambia," 12,054,154.00 Ï.Ú.ş "
ãíËÇŞ ÔÑÈÊáí,Chartered management accountant,001-469-574-6072x0612,lynlrshd@yahoo.com,Kuwait," 7,853,055.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÚÈÏ ÇáŞåøÇÑ Âá ÚØİÉ,Broadcast journalist,+1-873-413-4256x36937,hljbr@gmail.com,Liechtenstein," 11,263,246.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÚÈÏ Çáãáß ÇáãåíÏÈ,"Investment banker, corporate",793-390-5536x774,al-ydtl@hotmail.com,Pakistan," 2,292,133.00 Ï.Ú.ş "
ÇáÓíÏÉ ÊÑİ Âá Èä ÙÇİÑ,Psychiatric nurse,(797)529-4438x4701,dysm16@hotmail.com,Austria," 8,651,269.00 Ï.Ú.ş "
ãÍãøÏ Èä áÇÏä,Charity officer,7253432911,sal-sfwn@gmail.com,Saint Vincent and the Grenadines," 13,375,323.00 Ï.Ú.ş "
ÎÇÔÚÉ ÇáÚŞíá,"Merchandiser, retail",+1-347-264-7100x9086,al-lskryktwm@gmail.com,Haiti," 2,191,340.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÑíÇä ÔÑÈÊáí,Special educational needs teacher,-7530,wsfmhn@gmail.com,Guatemala," 2,500,320.00 Ï.Ú.ş "
ÇáÓíÏ ãÎáÕ Âá ÍÓíä,"Surveyor, quantity",836-780-5756,shwn40@hotmail.com,Paraguay," 1,270,391.00 Ï.Ú.ş "
Ìãíá Âá ÚÇíÖ,Hospital doctor,+1-333-529-2305x497,bd-lkrymal-yd@gmail.com,Nauru," 14,117,921.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÂáÇÁ Âá ÚæÇÖ,Sports coach,(903)821-2171x487,nwhal-mqt@yahoo.com,Indonesia," 14,678,772.00 Ï.Ú.ş "
ÚÈÏ ÇáÛİæÑ ãåäÇ,"Engineer, production",6465985311,vmhn@hotmail.com,Luxembourg," 1,995,853.00 Ï.Ú.ş "
ÓÌì Âá ÇáÔíÎ,Energy manager,687.781.8061x0131,thqb36@yahoo.com,Germany," 11,220,301.00 Ï.Ú.ş "
ÇáÏßÊæÑ ãäÇİ ÃÈæ ÏÇææÏ,Careers adviser,+1-506-599-3360x855,shhd09@hotmail.com,Estonia," 2,837,431.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÔåÏ Âá ÇáÚÓßÑí,Sport and exercise psychologist,889-968-1293,al-jfrjsm@gmail.com,Saint Vincent and the Grenadines," 8,053,566.00 Ï.Ú.ş "
ãÚÇÑİ ÇáÏÈÇÛ,Contracting civil engineer,(214)265-5508x643,shfal-sltn@hotmail.com,Indonesia," 2,510,667.00 Ï.Ú.ş "
ÇáÓíÏ ÚÈÏ ÇáÛİæÑ ÇáãåíÏÈ,Chief Marketing Officer,2785931669,myrl98@yahoo.com,Guyana," 8,505,220.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ íÓÑì ÇáÑÇÔÏ,"Scientist, biomedical",523-492-5671x024,bqshnsdh@yahoo.com,Greece," 8,054,785.00 Ï.Ú.ş "
ÅÈÇÁ Âá ÌÚİÑ,"Administrator, arts",(918)963-5750x640,nsyb97@yahoo.com,Malta," 866,408.00 Ï.Ú.ş "
ÓÌÇ ÔÑÈÊáí,Analytical chemist,895.948.8552,sqr81@gmail.com,Namibia," 649,717.00 Ï.Ú.ş "
ÖÍì Âá ÕİæÇä,Information officer,274.313.3330x52042,btkral-sltn@gmail.com,Bhutan," 12,896,184.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÑíäÇÏ ÇáãåíÏÈ,Osteopath,565-744-3901x53901,mhrnlmgwl@gmail.com,Central African Republic," 2,017,253.00 Ï.Ú.ş "
ÇáÓíÏ æÓíã Âá Èä áÇİí,"Engineer, communications",516-391-3886x989,fsylkhlyl@yahoo.com,Bahamas," 9,225,336.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÇÕíá ÇáÌÇÈÑ,Medical laboratory scientific officer,620-900-8816x48909,al-rfymshry@yahoo.com,Norfolk Island," 10,675,402.00 Ï.Ú.ş "
ÈÏÑÇáÏøÌì ÃÈÇ ÇáÎíá,Chief of Staff,+1-463-813-9610x1161,mnsy52@hotmail.com,Chad," 6,979,924.00 Ï.Ú.ş "
ÃÍáÇã ÇáãÛÇæáÉ,"Clinical scientist, histocompatibility and immunogenetics",(296)812-3305,yal-sfwn@gmail.com,India," 3,415,445.00 Ï.Ú.ş "
ßãÇá ÇáÏÈÇÛ,Risk manager,957.621.7064x1215,gal-myd@gmail.com,Portugal," 3,082,380.00 Ï.Ú.ş "
ÒÇÎÑ ÇáÍßíÑ,Chief Marketing Officer,703.461.6622x57377,al-swdndr@yahoo.com,French Guiana," 11,046,958.00 Ï.Ú.ş "
ØÇáÈ Âá ŞÕíÑ,Medical technical officer,302.588.5539x313,grydal-lshykh@gmail.com,Equatorial Guinea," 4,968,853.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ äÔæÉ ÇáÚáíÇä,"Lecturer, higher education",371-403-2465x38695,zal-bn-zfr@gmail.com,Uruguay," 11,602,974.00 Ï.Ú.ş "
ÇáÏßÊæÑ Òíä ãåäÇ,Medical secretary,001-738-482-9839x92217,vlmhn@yahoo.com,Switzerland," 12,078,046.00 Ï.Ú.ş "
ÇáÂäÓÉ ÈáäÏ ÃÈæ ÏÇææÏ,Writer,556-904-2895x5896,lmhnjwn@hotmail.com,Montenegro," 3,681,491.00 Ï.Ú.ş "
ÈÇÑÚÉ ÃÈÇ ÇáÎíá,Copy,(322)987-3689,lmhydbql@hotmail.com,Iran," 855,244.00 Ï.Ú.ş "
Ûæì ÈŞÔÇä,Sub,912-356-0036x3454,bal-hsyn@yahoo.com,Taiwan," 9,923,162.00 Ï.Ú.ş "
ÇáÂäÓÉ ÒßíÉ ÇáÍÌÇÑ,Tourism officer,+1-526-769-3636x57224,wsm49@hotmail.com,Romania," 2,026,780.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÚãÑÇä Âá ÇáÔíÎ,Data processing manager,+1-591-509-5122x305,ljflyrshd@hotmail.com,Taiwan," 1,098,378.00 Ï.Ú.ş "
æİÇÁ Âá ÓÚæÏ,Health physicist,-2283,al-bn-zfrkrm@gmail.com,Honduras," 14,867,397.00 Ï.Ú.ş "
İÑÇÓ ÇáÚŞíá,Animal nutritionist,+1-491-903-4302x52754,frwq37@hotmail.com,Bahrain," 2,119,084.00 Ï.Ú.ş "
ÒíÏÇä Âá ÚæÇÖ,Legal executive,487-313-9088,shhb91@hotmail.com,Gibraltar," 2,401,708.00 Ï.Ú.ş "
ÔÇØÑ Âá ÇáÔíÎ,Publishing rights manager,001-427-788-4965,shryf82@yahoo.com,Poland," 11,033,147.00 Ï.Ú.ş "
ÔíøŞ ÇáÌİÇáí,Commercial art gallery manager,(222)279-0208,sdymlmhydb@yahoo.com,Algeria," 10,308,063.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÓÈÃ ÔÑÈÊáí,Banker,(868)585-4552,lkhrfylqmn@gmail.com,Suriname," 12,967,245.00 Ï.Ú.ş "
ÇáãåäÏÓ ÔÈíÈ ÇáÍßíÑ,Medical illustrator,327.650.0697x9020,dhy33@yahoo.com,Zimbabwe," 2,246,781.00 Ï.Ú.ş "
ÛÇãÏ ÇáÚáíÇä,"Radiographer, therapeutic",979-929-0773,llynmhrn@hotmail.com,Nepal," 1,015,828.00 Ï.Ú.ş "
ÇáÓíÏÉ ÈåíÉ ÃÈÇ ÇáÎíá,Software engineer,717-869-9194,llynkhldwn@hotmail.com,Jamaica," 5,805,803.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÌíáÇä İÕíá,Television floor manager,001-359-703-8027x3609,tmr68@yahoo.com,Albania," 11,005,036.00 Ï.Ú.ş "
ÛÇãÏ ÇáÚÌáÇä,Illustrator,376-423-1368x178,vknw@hotmail.com,Japan," 11,509,798.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÑÇİÚ ÇáÍßíÑ,"Scientist, research (medical)",(997)587-2304,oljln@gmail.com,Mali," 12,118,795.00 Ï.Ú.ş "
äÏíã ÇáãåäÇ,Diagnostic radiographer,4629513349,mlk67@hotmail.com,Finland," 12,497,599.00 Ï.Ú.ş "
ÇáÓíÏÉ ÓáÓÈíá Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Cytogeneticist,001-618-590-2505x790,knwshyb@yahoo.com,Brazil," 14,908,877.00 Ï.Ú.ş "
ãÌÇåÏ ÇáÎÑÇİí,Land,(936)343-9389,sbn-ldn@yahoo.com,Montserrat," 8,315,738.00 Ï.Ú.ş "
ÈíáÓÇä Âá ÓÚæÏ,Diagnostic radiographer,799-544-5889x16329,fwzyal-sfwn@gmail.com,Cook Islands," 11,884,963.00 Ï.Ú.ş "
ÈäÇä Âá ÎÖíÑ,"Education officer, museum",+1-813-938-9903x417,lrshdfrdws@yahoo.com,Serbia," 11,203,462.00 Ï.Ú.ş "
ÓáÇİ Âá ÎÖíÑ,Multimedia programmer,+1-864-400-8601x68968,jll-ldwyn82@gmail.com,Greece," 8,987,023.00 Ï.Ú.ş "
ÇáÂäÓÉ ÈËíäÉ ãåäÇ,Plant breeder/geneticist,(263)336-7459,qsyal-bn-lfy@yahoo.com,Switzerland," 11,028,564.00 Ï.Ú.ş "
äãÑ ÇáÏÈÇÛ,Politician's assistant,(691)599-9250x98567,zllyn@hotmail.com,Korea," 6,388,815.00 Ï.Ú.ş "
ÊÇáÇ ßÇäæ,Data processing manager,950.312.1939x183,tlal-hsyn@yahoo.com,Libyan Arab Jamahiriya," 7,392,786.00 Ï.Ú.ş "
ÇáÓíÏ ŞÍØÇä Âá ãŞØÉ,Comptroller,(731)417-8438x8629,tmr20@yahoo.com,Korea," 9,120,183.00 Ï.Ú.ş "
ÇáÓíÏ ÊÑİ ÇáãåíÏÈ,"Scientist, water quality",729-686-4861,rdy82@yahoo.com,Zimbabwe," 13,460,274.00 Ï.Ú.ş "
ÒßíÉ ÍäÈæáí,Agricultural consultant,(848)492-1224x6914,lrshdbd-lwhd@gmail.com,Italy," 3,237,373.00 Ï.Ú.ş "
ãÑÔÏ ÇáãåäÇ,Warehouse manager,974-514-7881x04317,bthlal-bn-zfr@yahoo.com,Vietnam," 12,571,258.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÚÊÑíÓ ÃÈÇ ÇáÎíá,"Sound technician, broadcasting/film/video",9327672196,al-qsyrmutwly@gmail.com,Jersey," 7,932,116.00 Ï.Ú.ş "
ÔæŞí Âá ÚÇíÖ,Sales executive,865-270-4459x8300,tlb70@yahoo.com,Western Sahara," 4,595,904.00 Ï.Ú.ş "
ÇáÓíÏ ÒÛáæá ÇáÚŞíá,"Psychologist, forensic",(357)256-4545x904,al-sltnbd@gmail.com,Honduras," 9,093,739.00 Ï.Ú.ş "
áÇÑÇ ÇáÎÑÇİí,Financial trader,673.257.2457,yn12@yahoo.com,Gabon," 1,952,664.00 Ï.Ú.ş "
ÇáÏßÊæÑ áãøÇÍ Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,"Nurse, mental health",754-516-5460x9741,mslm01@gmail.com,Eritrea," 6,992,332.00 Ï.Ú.ş "
ÚÈÏ ÇáÅáå Âá ÚØİÉ,"Radiographer, therapeutic",693.811.7601x14827,rljbr@yahoo.com,Aruba," 641,589.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÑíÊÇá Âá Èä áÇİí,Scientific laboratory technician,(732)436-2292x554,al-wdshbn@gmail.com,Saint Lucia," 3,332,111.00 Ï.Ú.ş "
åÇÌÑ Âá ÚÇíÖ,Tourist information centre manager,698.690.4553x375,al61@yahoo.com,Puerto Rico," 3,181,315.00 Ï.Ú.ş "
ßÇÙã Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Community pharmacist,905.876.0536,znal-ly@gmail.com,Lesotho," 14,903,277.00 Ï.Ú.ş "
İØíä Âá ãŞØÉ,Building services engineer,714.720.4709x752,qnw58@gmail.com,Bouvet Island (Bouvetoya)," 10,431,694.00 Ï.Ú.ş "
ÇáãåäÏÓ ÚÇÑİ Âá ŞÕíÑ,Recruitment consultant,852.578.3486x70690,zal-mqt@yahoo.com,Cook Islands," 6,226,641.00 Ï.Ú.ş "
ÇáãåäÏÓ Îáİ Âá ÕİæÇä,Claims inspector/assessor,254.505.8422,lmhnftyn@gmail.com,Qatar," 1,958,947.00 Ï.Ú.ş "
ÑÖæÇä ÃÈæ ÏÇææÏ,Pharmacologist,(943)762-1762x12707,lmhydbtmr@gmail.com,Burundi," 7,988,419.00 Ï.Ú.ş "
ÌåÑÇÁ Âá ÚÇíÖ,"Psychotherapist, child",001-440-605-6056x79136,al-sfwnrby@gmail.com,Kyrgyz Republic," 11,512,973.00 Ï.Ú.ş "
äÇÚã Âá Èä ÙÇİÑ,Call centre manager,001-305-541-3423,sjyal-mqt@yahoo.com,Trinidad and Tobago," 12,883,836.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ Ìäì Âá ÇáÔíÎ,Agricultural engineer,844-457-2699x5602,yzyd87@yahoo.com,French Polynesia," 1,328,925.00 Ï.Ú.ş "
äÇÏíå İÕíá,Magazine journalist,001-891-766-6286x714,zynal-rfy@gmail.com,Lebanon," 10,736,221.00 Ï.Ú.ş "
áíäÇ Âá Èä ÙÇİÑ,"Production assistant, television",001-257-402-8081x8227,nymal-myd@hotmail.com,Slovenia," 13,725,874.00 Ï.Ú.ş "
ÔåÏ Âá ÑİíÚ,Theme park manager,(222)807-2831x8370,lshynsyf@hotmail.com,Libyan Arab Jamahiriya," 14,468,710.00 Ï.Ú.ş "
ÃÓíá ßÇäæ,Passenger transport manager,+1-599-319-3321x025,bw-dwwdblnd@hotmail.com,Western Sahara," 5,901,083.00 Ï.Ú.ş "
ÇáÓíÏ ÎÇİŞ Âá ÇáÚÓßÑí,Marine scientist,001-897-735-3235x2341,rmy63@gmail.com,Libyan Arab Jamahiriya," 5,426,382.00 Ï.Ú.ş "
ØÑíİ Âá ÍÓíä,"Programmer, systems",(895)812-8933,jwnal-bn-zfr@hotmail.com,Slovakia (Slovak Republic)," 14,901,787.00 Ï.Ú.ş "
ÈáäÏ ÇáãåíÏÈ,Telecommunications researcher,308.653.6178x7052,qysal-bn-lfy@yahoo.com,Liberia," 14,654,722.00 Ï.Ú.ş "
ÇáÓíÏÉ ÈåíÉ Âá ÓáØÇä,Cabin crew,+1-920-401-3193x964,fdybn-ldn@yahoo.com,French Polynesia," 10,518,171.00 Ï.Ú.ş "
ÔÇÏä Âá ÕİæÇä,Biomedical engineer,3352723896,zydal-lshykh@yahoo.com,Solomon Islands," 3,978,809.00 Ï.Ú.ş "
ÇáÓíÏ ÚÇÏá ÇáÚáíÇä,Lobbyist,001-451-746-4825x000,hmzal-lskry@gmail.com,Brunei Darussalam," 2,177,220.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÎãíÓ ÃÈÇ ÇáÎíá,Audiological scientist,317.587.8957,lbybhnbwly@gmail.com,Nepal," 2,170,525.00 Ï.Ú.ş "
åÇíÏí ÇáÌİÇáí,Rural practice surveyor,+1-617-577-5370x635,ljbrmmtz@yahoo.com,Andorra," 8,893,239.00 Ï.Ú.ş "
İíøÇÖ Âá ÚæÇÖ,"Designer, blown glass/stained glass",001-656-644-5315x698,mrym63@yahoo.com,Guinea," 6,536,523.00 Ï.Ú.ş "
ÃÍáÇã ÇáÚáíÇä,Chartered public finance accountant,927-711-5865,sal-wd@hotmail.com,Saint Helena," 3,251,823.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÌæÏí ÃÈÇ ÇáÎíá,Dietitian,247.200.8103x024,ktwm62@yahoo.com,Jordan," 3,903,835.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÌæÇä ßÇäæ,Theme park manager,001-989-441-4877,ljflydly@gmail.com,United Kingdom," 8,513,219.00 Ï.Ú.ş "
ãõäÌÏ ÍÌÇÑ,IT technical support officer,357-322-2301,al-lyty@hotmail.com,Tonga," 4,473,917.00 Ï.Ú.ş "
æÍíÏ Âá ÓáØÇä,Sport and exercise psychologist,457-380-8531,kml78@gmail.com,Croatia," 4,769,817.00 Ï.Ú.ş "
ÕÇÑã ÇáãåíÏÈ,Gaffer,+1-328-728-3345x93844,dhmnal-hsyn@gmail.com,Suriname," 13,274,669.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÌíáÇä Âá Èä ÙÇİÑ,Lobbyist,221-630-6344x983,rgblmshwl@yahoo.com,Congo," 670,630.00 Ï.Ú.ş "
ÇáãåäÏÓ äÕæÍ Âá ŞÕíÑ,Naval architect,001-771-716-5606x83285,klrshd@hotmail.com,Mozambique," 10,701,634.00 Ï.Ú.ş "
ÌæÇä ÇáÏÈÇÛ,"Clinical scientist, histocompatibility and immunogenetics",(279)568-4658x1962,jn13@hotmail.com,Barbados," 2,735,311.00 Ï.Ú.ş "
ÇáÓíÏÉ ÓáÇİ ÃÈÇ ÇáÎíá,Surgeon,(241)393-6993,mhfwz44@hotmail.com,Paraguay," 11,540,437.00 Ï.Ú.ş "
ÇáãåäÏÓ áØæİ Âá ÇáÔíÎ,Print production planner,+1-518-245-3411x711,shrbtlybd-lmjyd@gmail.com,Mayotte," 13,994,943.00 Ï.Ú.ş "
ãÇíÇ Âá ÕİæÇä,Commissioning editor,474.991.3267x0149,msb12@gmail.com,Oman," 8,248,669.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÚÊÇÈ ßÇäæ,Neurosurgeon,722.803.1965,kfwrlmgwl@gmail.com,Canada," 8,772,699.00 Ï.Ú.ş "
ÇáÓíÏÉ ÇÈÊåÇÌ ÇáÚáíÇä,Magazine features editor,(264)321-2696x881,rsmyal-qsyr@yahoo.com,Spain," 10,413,774.00 Ï.Ú.ş "
